login_hour,trusted_device,country,ip_reputation,vpn_detected,failed_login_attempts,browser,access_frequency,file_sensitivity,refresh_frequency,label
17,1,India,0.94,0,1,Firefox,5,Medium,2,Normal
17,1,India,0.92,0,1,Edge,1,Low,0,Normal
2,0,Russia,0.23,1,6,Edge,17,High,9,Attack
14,1,India,0.93,0,1,Firefox,1,Low,2,Normal
0,0,Germany,0.58,0,2,Chrome,8,High,3,Suspicious
14,1,India,0.81,0,1,Chrome,3,Low,2,Normal
20,0,USA,0.79,1,5,Chrome,10,High,5,Suspicious
23,0,USA,0.71,1,3,Firefox,5,High,3,Suspicious
23,1,India,0.52,0,5,Firefox,5,Medium,3,Suspicious
21,1,Germany,0.71,1,3,Firefox,7,High,5,Suspicious
15,1,India,0.81,0,0,Safari,1,Low,2,Normal
18,1,India,0.86,0,1,Safari,4,Medium,2,Normal
10,1,India,0.94,0,0,Safari,3,Medium,1,Normal
4,0,Unknown,0.27,1,8,Firefox,18,High,6,Attack
9,1,India,0.91,0,0,Firefox,4,Low,2,Normal
15,1,India,0.95,0,1,Chrome,5,Medium,1,Normal
17,1,India,0.97,0,1,Safari,5,Medium,0,Normal
10,1,India,0.83,0,1,Edge,1,Medium,1,Normal
20,1,USA,0.42,0,3,Safari,6,High,3,Suspicious
12,1,India,0.93,0,1,Edge,5,Low,1,Normal
17,1,India,0.95,0,1,Chrome,2,Medium,0,Normal
12,1,India,0.96,0,1,Safari,4,Medium,0,Normal
16,1,India,0.86,0,1,Firefox,5,Low,2,Normal
14,1,India,0.96,0,1,Safari,4,Low,1,Normal
8,1,India,0.95,0,1,Chrome,4,Low,1,Normal
17,1,India,0.93,0,0,Safari,1,Medium,0,Normal
10,1,India,0.99,0,1,Chrome,3,Medium,1,Normal
2,0,China,0.13,1,6,Firefox,11,High,8,Attack
2,1,India,0.51,0,4,Chrome,9,Medium,5,Suspicious
12,1,India,0.97,0,1,Safari,1,Low,0,Normal
9,1,India,0.86,0,0,Firefox,1,Medium,0,Normal
21,1,USA,0.59,1,4,Firefox,9,High,2,Suspicious
14,1,India,0.97,0,1,Edge,5,Low,2,Normal
8,1,India,0.85,0,1,Edge,4,Low,0,Normal
10,1,India,0.95,0,0,Chrome,5,Medium,2,Normal
16,1,India,0.88,0,1,Safari,1,Low,1,Normal
14,1,India,0.86,0,0,Edge,3,Medium,1,Normal
14,1,India,0.93,0,1,Edge,2,Medium,1,Normal
14,1,India,0.87,0,1,Firefox,1,Medium,2,Normal
22,0,USA,0.62,1,2,Firefox,7,Medium,4,Suspicious
9,1,India,0.88,0,1,Safari,3,Low,2,Normal
3,0,Russia,0.06,1,7,Firefox,11,High,6,Attack
13,1,India,0.81,0,1,Edge,1,Medium,1,Normal
5,0,USA,0.51,0,4,Firefox,5,Medium,6,Suspicious
10,1,India,0.96,0,1,Edge,1,Low,2,Normal
2,0,Unknown,0.05,1,8,Safari,14,High,10,Attack
3,0,China,0.09,1,10,Safari,10,High,9,Attack
16,1,India,0.92,0,1,Chrome,2,Medium,1,Normal
8,1,India,0.85,0,1,Edge,2,Low,1,Normal
0,0,USA,0.62,1,5,Edge,6,Medium,6,Suspicious
11,1,India,0.81,0,0,Firefox,5,Medium,1,Normal
15,1,India,0.9,0,1,Edge,2,Medium,0,Normal
13,1,India,0.87,0,1,Firefox,3,Medium,2,Normal
9,1,India,0.88,0,1,Firefox,2,Low,0,Normal
23,0,India,0.72,1,5,Safari,10,High,2,Suspicious
12,1,India,0.81,0,0,Edge,2,Low,0,Normal
18,1,India,0.92,0,0,Safari,4,Low,1,Normal
16,1,India,0.93,0,1,Edge,2,Low,0,Normal
13,1,India,0.99,0,1,Safari,3,Low,2,Normal
3,0,Russia,0.07,1,10,Safari,13,High,9,Attack
8,1,India,0.82,0,0,Safari,5,Low,1,Normal
10,1,India,0.86,0,1,Safari,5,Low,0,Normal
16,1,India,0.96,0,1,Edge,2,Low,1,Normal
16,1,India,0.82,0,0,Firefox,5,Low,0,Normal
1,1,India,0.74,1,3,Edge,10,Medium,2,Suspicious
1,0,Russia,0.09,1,7,Edge,18,High,9,Attack
3,0,China,0.18,1,10,Edge,15,High,6,Attack
15,1,India,0.81,0,1,Firefox,4,Low,2,Normal
8,1,India,0.92,0,1,Chrome,4,Medium,1,Normal
12,1,India,1.0,0,1,Chrome,1,Medium,1,Normal
8,1,India,0.84,0,0,Safari,2,Low,1,Normal
5,0,India,0.62,1,5,Chrome,9,High,2,Suspicious
3,0,USA,0.45,1,5,Safari,10,High,4,Suspicious
16,1,India,0.81,0,1,Firefox,2,Medium,2,Normal
5,0,USA,0.78,1,3,Chrome,7,Medium,3,Suspicious
18,1,India,0.83,0,0,Safari,5,Medium,2,Normal
17,1,India,0.87,0,1,Firefox,1,Low,0,Normal
3,0,China,0.07,1,6,Firefox,15,High,9,Attack
1,0,China,0.21,1,7,Edge,18,High,9,Attack
17,1,India,0.92,0,0,Safari,3,Medium,1,Normal
2,0,China,0.18,1,6,Firefox,19,High,8,Attack
13,1,India,0.81,0,1,Safari,5,Medium,0,Normal
18,1,India,0.88,0,1,Chrome,4,Medium,1,Normal
14,1,India,0.82,0,0,Firefox,1,Low,0,Normal
8,1,India,0.85,0,0,Chrome,5,Medium,0,Normal
1,1,India,0.64,0,4,Firefox,8,High,5,Suspicious
15,1,India,0.97,0,0,Safari,4,Medium,0,Normal
10,1,India,0.8,0,1,Firefox,5,Medium,2,Normal
12,1,India,0.94,0,0,Safari,2,Low,1,Normal
5,1,Germany,0.78,0,3,Firefox,9,Medium,2,Suspicious
17,1,India,0.85,0,0,Chrome,3,Medium,0,Normal
11,1,India,0.99,0,0,Safari,2,Medium,1,Normal
23,1,USA,0.61,1,5,Chrome,5,Medium,6,Suspicious
12,1,India,0.82,0,1,Edge,5,Low,0,Normal
14,1,India,0.86,0,0,Edge,4,Low,2,Normal
2,0,China,0.04,1,6,Edge,12,High,6,Attack
16,1,India,0.82,0,1,Chrome,3,Medium,1,Normal
18,1,India,0.84,0,0,Safari,4,Low,1,Normal
10,1,India,0.81,0,1,Safari,1,Medium,1,Normal
11,1,India,0.97,0,0,Safari,2,Medium,1,Normal
4,0,Russia,0.29,1,8,Firefox,18,High,9,Attack
3,0,China,0.1,1,8,Chrome,14,High,6,Attack
10,1,India,0.97,0,1,Chrome,5,Medium,0,Normal
17,1,India,0.81,0,0,Firefox,5,Medium,0,Normal
14,1,India,0.82,0,0,Safari,5,Low,1,Normal
1,0,China,0.17,1,7,Safari,12,High,9,Attack
1,0,USA,0.54,1,3,Firefox,9,Medium,2,Suspicious
